id,state,postal_code,product,user_id,square_ft,high_risk_dog,has_fire_alarm,has_burglar_alarm,portable_electronics,coast,fire_housing_proximity,previous_policies,user_age,card_type,target
5635150740810547262,RI,02919,ho4,-9200052455466035807,,0,true,true,0,15,3,0,50.0,debit,false
-6812366780095925670,RI,02916,ho4,-9157445982137526304,,0,true,false,1,10,2,0,23.0,credit,false
-2116658262742713901,RI,02906,ho4,-9105597609230611849,,0,true,true,1,10,2,0,31.0,credit,false
-6989985242581481183,IA,50324,ho4,-8813233092686546198,,0,true,false,1,,3,0,22.0,credit,false
-6360001229429451531,IA,50309,ho4,-9198021864229197098,,0,true,false,1,,2,0,31.0,debit,false
-187650112070637048,CT,06339,ho4,-9176143322855932612,,0,true,true,1,10,5,0,47.0,debit,false
-1231321782703936763,NM,87108,ho4,-9066102374108804768,,0,true,false,1,,1,0,34.0,credit,false
-817390338407082241,WI,53151,ho4,-9210359538308193990,,0,true,false,1,15,3,0,48.0,debit,false
6595520228023266050,WI,53110,ho4,-9191091914905678226,,0,true,false,1,5,3,0,34.0,debit,false
2492588938174642410,CT,06851,ho4,-9218301479249833066,,0,true,true,1,2,3,0,27.0,credit,false
9154124405466726397,WI,53932,ho4,-9006247144096818202,,0,true,false,1,30,4,0,30.0,debit,false
-5397127796750583659,WI,53188,ho4,-9205189418465220177,,0,true,false,0,20,2,0,63.0,credit,false
-6501192219810619916,AR,72364,ho4,-9068231931169616184,,0,true,false,0,,3,1,28.0,debit,false
-2497877709183894979,IA,50021,ho4,-9108306492341369879,,0,false,false,1,,3,0,22.0,credit,false
3172548537429359823,NM,88005,ho4,-8826729495508702360,,0,true,false,1,,1,0,45.0,debit,false
-6678751011555171271,CT,06516,ho4,-9041159839621097646,,0,true,false,1,1,2,0,56.0,credit,false
8591439858697238930,WI,53202,ho4,-9024552431603462705,,0,true,false,1,1,1,0,23.0,credit,false
8697333249032095942,RI,02860,ho4,-9010724933221675126,,0,true,false,1,10,3,0,21.0,debit,false
497968810360460538,WI,53713,ho4,-9079242940329981025,,0,true,false,0,30,3,1,33.0,debit,false
-9006492182978008269,AR,72703,ho4,-9153364425420068042,,0,true,false,1,,1,0,21.0,debit,false
-5976361130528585692,WI,53719,ho4,-8964511398797141179,,0,false,false,1,30,1,0,37.0,debit,false
8699560345454555610,AR,72701,ho4,-8928632875389403054,,0,true,false,1,,1,0,19.0,debit,false
5803677633315368844,NM,88001,ho4,-8838968694890866310,,0,false,true,1,,1,0,22.0,credit,false
1165959082547764394,IA,50309,ho4,-8907976797413653529,,0,false,false,0,,2,0,21.0,debit,false
1275891112325775590,RI,02908,ho4,-8959737638697722410,,0,true,true,1,10,2,1,19.0,debit,false
-635979816013178880,WI,53705,ho4,-9050492269465797323,,0,true,false,1,30,1,0,22.0,credit,false
-1470206426348846351,IN,46205,ho4,-9073103815994792574,,0,true,true,1,30,2,0,26.0,debit,false
-3254597138243647725,CT,06237,ho4,-9010194294231808820,,0,true,false,0,30,8B,0,24.0,debit,false
-8008033816732195191,WI,53130,ho4,-8909227721697308849,,0,true,false,1,10,3,0,48.0,debit,false
3480777399522119649,CT,06379,ho4,-9173481776570556000,,0,true,false,0,3,4,0,32.0,debit,false
-8012972642261173877,WI,53703,ho4,-8914661462374509421,,0,true,false,1,30,1,0,21.0,debit,false
-8883018797885288659,NM,87111,ho4,-9070595666038072500,,0,true,true,1,,1,0,31.0,debit,false
6434797155116797213,NM,88101,ho4,-9124005028067099044,,0,false,false,1,,2,0,39.0,debit,false
-514819980113764154,CT,06443,ho4,-9110733114153648143,,0,true,true,1,3,5,0,27.0,credit,false
4591470911435218075,WI,53022,ho4,-9157363898492223259,,0,true,false,1,20,3,0,45.0,credit,false
-4771101035747187041,IN,46601,ho4,-8866673770106003104,,0,true,false,1,30,2,0,35.0,credit,false
-9127991636180824109,WI,53546,ho4,-9047200105342076061,,0,true,false,1,30,3,0,32.0,debit,false
2041725289195491592,WI,53713,ho4,-9079242940329981025,,0,true,false,0,30,3,0,33.0,debit,false
118343926961122631,WI,53703,ho4,-8946741832402089901,,0,true,false,1,30,1,0,24.0,debit,false
7576572863115945932,CT,06108,ho4,-9155141711849909844,,0,true,false,1,30,2,0,42.0,debit,false
257813075152110097,WI,53214,ho4,-9200030919524786245,,0,false,false,1,5,1,0,33.0,debit,false
-4081407495940146535,WI,53207,ho4,-8985758467679922517,,0,true,false,1,2,1,0,27.0,debit,false
-6873662661887943766,NM,87114,ho4,-8861101607111854150,,0,true,false,0,,1,0,31.0,debit,false
-5940511686551256814,WI,54016,ho4,-8825615832743523875,,0,false,false,0,30,3,0,25.0,credit,false
4398951464511888251,WI,53214,ho4,-8883559921535914649,,0,true,true,1,5,1,0,50.0,debit,false
-4189095529281532568,IA,50023,ho4,-9087158906658416091,,0,true,true,1,,3,0,21.0,debit,false
-8000546040157604019,RI,02920,ho4,-8867381837335610197,,0,true,true,0,10,2,0,25.0,credit,false
-4959022659053204629,NM,87111,ho4,-8805197746880923248,,0,true,true,1,,1,0,27.0,debit,false
-5219967798294357821,IA,50266,ho4,-9180623312638386902,,0,true,false,0,,2,0,35.0,debit,false
-9207787965306050493,WI,53204,ho4,-9129839263006542002,,0,true,false,0,0,1,1,23.0,credit,false
7926238528300605288,WI,53406,ho4,-9197417948813109518,,0,true,false,0,25,2,0,46.0,debit,false
8106904869950253900,RI,02864,ho4,-8828007017133799200,,0,true,false,1,15,3,1,34.0,credit,false
-4424984052259628876,NM,88012,ho4,-9060026899039337265,,0,true,true,1,,1,1,,debit,false
7290491572263786630,WI,53219,ho4,-8986742480536247011,,0,false,false,0,10,1,0,48.0,debit,false
6923953575201210083,IA,52240,ho4,-8796484900973583944,,0,true,false,1,,2,0,19.0,debit,false
8382952962912579620,IA,52353,ho4,-9125801213149300870,,0,true,false,1,,4,0,26.0,debit,false
2399050749582332372,CT,06084,ho4,-9161709592071616377,,0,true,false,1,30,5Y,0,23.0,credit,false
-6426984534445895279,CT,06851,ho3,-9187915279963377170,2223,0,true,true,1,1,3,1,73.0,credit,false
-7279517804961402672,WI,53130,ho4,-9167362973331985186,,0,true,false,1,10,3,0,24.0,debit,false
2010678403725021782,CT,06089,ho4,-9199196579173082432,,0,true,false,1,30,4,0,65.0,credit,false
-6957801231472628726,WI,53129,ho4,-9056107637238738872,,0,true,false,0,10,4,0,26.0,debit,false
8254311916540212274,WI,54303,ho4,-8921102232939080527,,0,false,false,1,2,1,0,25.0,debit,false
-7896114774797656274,WI,53143,ho4,-8818231964985328049,,0,true,false,0,30,2,0,51.0,credit,false
-6683823649826007777,IA,50309,ho4,-9098337418986550265,,0,true,true,1,,2,0,59.0,credit,false
-3385028629368219244,NM,88011,ho4,-8875213163787883195,,0,true,false,1,,1,0,36.0,credit,false
-2379886980395552394,IA,50266,ho4,-9040946838003437737,,0,true,true,1,,2,2,24.0,credit,false
-4378563151428401548,IN,47362,ho4,-9207198310524598526,,0,true,false,0,30,4,0,34.0,debit,false
-6699823970466690314,RI,02860,ho4,-9115443128446485408,,0,true,false,1,10,3,0,24.0,debit,false
3664733519440085467,CT,06051,ho6,-8940020532046812516,952,0,true,false,1,30,3,0,40.0,credit,false
276332697826280115,IA,50311,ho4,-8905788662966226434,,0,true,false,0,,2,0,33.0,debit,false
-1699715544829477353,CT,06511,ho4,-9185266073279435330,,0,false,false,1,1,1,0,32.0,credit,false
-6921095354360925412,WI,53094,ho4,-8856405499141711776,,0,true,false,1,30,3,0,24.0,debit,false
9195111012085764093,NM,88011,ho4,-8838968694890866310,,0,false,false,1,,1,1,22.0,credit,false
4602841150121031627,IN,47906,ho4,-8974637631973330943,,0,true,false,1,30,3,0,48.0,debit,false
-640998499765008998,IA,52052,ho4,-9169388967285290999,,0,true,false,1,,6,0,22.0,debit,false
174072808026550606,AR,72120,ho4,-8988712773269923848,,0,true,false,0,,2,0,24.0,debit,false
-7435966920102074953,AR,72764,ho4,-9187584778119754140,,0,false,false,1,,1,0,20.0,debit,false
-1115938994682387427,CT,06901,ho4,-8917262390572421644,,0,true,false,0,1,3,0,25.0,debit,false
1261954227632035126,AR,72202,ho4,-8951337579410667445,,0,true,true,0,,1,0,23.0,credit,false
-4290584853742617341,IA,50131,ho4,-9040946838003437737,,0,true,true,1,,3,1,24.0,credit,false
-8371607426734442976,IA,50309,ho4,-9134328921298331858,,0,true,false,1,,2,1,22.0,credit,false
-2061785434133679772,CT,06405,ho6,-9051723716764643247,1800,0,true,false,0,0,4,0,49.0,debit,false
-7213449170624051529,WI,53209,ho4,-8899687727808230520,,0,true,true,1,10,1,0,28.0,debit,false
4230793189904000762,WI,53703,ho4,-8946741832402089901,,0,true,false,1,30,1,1,24.0,debit,false
5320108472306261120,IA,50309,ho4,-9026504691839062303,,0,false,false,0,,2,0,36.0,credit,false
-1934485429425496336,RI,02909,ho4,-8894247275328655937,,0,true,false,1,10,2,0,19.0,debit,false
-3276762031341439865,WI,54914,ho4,-9208359195683404136,,0,true,false,1,30,4,0,33.0,credit,false
-6709003583458591443,NM,87114,ho4,-8924201375653600407,,0,false,true,1,,1,0,21.0,debit,false
-5551302372579430404,IA,50036,ho4,-8897157880115599743,,0,true,false,1,,3,0,21.0,debit,false
2956310508866669227,CT,06810,ho4,-9023473443636922754,,0,true,false,1,20,4,0,44.0,debit,false
-6233786233065933525,WI,53211,ho4,-8985627116343773044,,0,false,false,1,1,1,0,25.0,credit,false
-6292261550715409027,RI,02908,ho4,-8959737638697722410,,0,true,true,1,10,2,0,19.0,debit,false
-8670380371734462135,NM,87123,ho4,-8949538364362084079,,0,true,false,1,,1,0,20.0,debit,false
8908514708722496156,CT,06033,ho4,-8985484209696955471,,0,true,false,1,30,4,0,29.0,debit,false
5861620012596927454,WI,53204,ho4,-9129839263006542002,,0,true,false,0,0,1,0,23.0,credit,false
-8431003356510552286,WI,53207,ho4,-8946078168030400685,,0,true,true,1,3,1,0,29.0,debit,true
8443121837702674024,CT,06511,ho4,-8956029814482248551,,0,false,false,1,1,1,1,26.0,credit,false
-737223920572852920,NM,88203,ho4,-8909453856834638741,,0,true,true,1,,2,0,19.0,debit,false
3889256355481631917,WI,53715,ho4,-8822095059573927392,,0,true,false,1,30,1,0,19.0,debit,false
-651187927127197030,NM,87121,ho4,-9074971588853297428,,0,true,false,1,,1,1,43.0,debit,false
6323125746274698372,RI,02909,ho4,-9005670335289139512,,0,false,false,1,10,2,0,24.0,debit,false
8703593859560647592,WI,53204,ho4,-8914468956246191827,,0,true,false,0,1,1,1,40.0,credit,false
2128511305057023682,WI,53211,ho4,-9040381188022675912,,0,false,false,1,2,1,0,25.0,credit,false
-1340142027376761082,WI,53703,ho4,-9005827919020091810,,0,true,true,1,30,1,0,21.0,credit,false
-6661251331276884489,CT,06040,ho4,-9108866919662508415,,0,false,false,0,30,3,0,47.0,debit,false
230481907336086166,AR,72348,ho4,-8962415997002880351,,0,false,false,1,,5,0,42.0,debit,false
5256650699047897805,CT,06902,ho4,-8940539156308996734,,0,true,false,1,2,3,0,35.0,debit,false
3966164457528834544,NM,87111,ho4,-9003926765520555189,,0,false,true,1,,1,0,24.0,credit,false
2970696161464596981,WI,53212,ho4,-9162824074510236072,,0,true,false,1,1,1,0,30.0,debit,false
-5394784273939246529,WI,54303,ho4,-8879945731507283537,,0,false,false,0,2,1,0,22.0,debit,false
-8312335229006729733,IA,50322,ho4,-8813943036604762897,,0,false,false,1,,3,0,21.0,debit,false
5115347172983123299,RI,02840,ho6,-8872880501910383695,1400,0,false,false,1,1,2,0,53.0,debit,false
-4963887736242791202,WI,53115,ho4,-9089369023282387375,,0,true,false,0,30,3,0,23.0,debit,false
-5078526508997434126,AR,72118,ho4,-9008739071406522073,,0,false,false,0,,1,0,25.0,debit,false
1531005046718630731,NM,87501,ho4,-8906781332328758451,,0,false,false,1,,2,0,27.0,debit,false
5304001215493472234,WI,53130,ho4,-8909227721697308849,,0,true,true,1,10,3,1,48.0,debit,false
8844768236267680316,AZ,85202,ho4,-9114012799253542759,,0,false,false,0,,3,0,39.0,debit,false
5126060910962452337,AZ,85323,ho4,-9071587348341764258,,0,true,false,1,,2,0,68.0,credit,false
6429695884035789236,AZ,85749,ho4,-8840361407353819847,,0,false,false,0,,1,0,62.0,debit,false
7842320368741092917,AZ,85033,ho4,-9115050915627104387,,0,false,false,1,,2,0,40.0,debit,false
-428072906409091981,AZ,85003,ho4,-9109553808235554806,,0,true,false,1,,1,0,22.0,debit,false
4979151301840531057,AZ,85281,ho4,-9171266807365191069,,0,true,false,1,,2,1,23.0,debit,false
5328244109369945962,AZ,85281,ho4,-9192538953952654297,,0,false,false,0,,2,0,19.0,credit,false
5092694443569874379,AZ,85281,ho4,-9102689091118110345,,0,true,false,0,,2,0,18.0,credit,false
7568749404550073828,AZ,85027,ho4,-9054042258185886595,,0,true,false,0,,2,0,36.0,debit,false
-5965119719627799602,AZ,85051,ho4,-9072179588047232533,,0,true,false,1,,2,0,18.0,debit,false
547184116896942460,AZ,85282,ho4,-8851232460564290229,,0,false,false,0,,2,0,20.0,debit,false
-9085558985381575513,AZ,85716,ho4,-8920779947912624180,,0,true,false,1,,1,0,27.0,credit,false
5650664825449590651,AZ,85283,ho4,-8833145099985293711,,0,true,true,1,,2,0,22.0,credit,false
-1400037680507684719,AZ,85283,ho4,-8820983877724709931,,0,true,true,0,,2,0,30.0,debit,false
7855716053892248315,AZ,85014,ho4,-9164301761660925199,,0,false,false,0,,1,0,59.0,debit,false
8329781512772743207,AZ,85705,ho4,-8999497414407490182,,0,true,false,1,,1,0,22.0,debit,false
-4094203934407402130,AZ,85281,ho4,-8805248509978482435,,0,true,false,1,,2,0,38.0,credit,false
8068844217366209964,AZ,85705,ho4,-9089596337854045559,,0,true,false,0,,1,0,32.0,debit,false
158464165351180937,AZ,86001,ho4,-9034981445292733827,,0,false,false,1,,8B,0,24.0,credit,false
-1579297422185627124,AZ,85282,ho4,-9162754510257637235,,0,true,false,0,,2,0,23.0,credit,false
5247159613748418951,AZ,85281,ho4,-9056608434611331688,,0,true,true,0,,2,0,26.0,credit,false
1520272515270385052,AZ,85210,ho4,-8840680348777077485,,0,true,false,1,,3,0,36.0,debit,false
396886595366457662,AZ,85304,ho4,-9134933334813132734,,0,false,false,0,,2,0,23.0,debit,false
2674392979768121622,AZ,85050,ho4,-8943653658188327596,,0,true,true,1,,2,0,29.0,credit,false
-5135299894927794450,AZ,85043,ho4,-9176890338290270130,,0,true,true,0,,1,0,74.0,debit,false
-7564025151475434593,AZ,85043,ho4,-9139217642580348160,,0,true,false,1,,2,0,49.0,debit,false
3723949164697698450,AZ,85014,ho4,-9175533553524368567,,0,true,false,1,,1,0,22.0,debit,false
3536890025867987569,AZ,85201,ho4,-9119923211020664457,,0,true,false,1,,3,0,23.0,debit,false
-8856191708828746411,AZ,85282,ho4,-9130994184400237122,,0,false,false,1,,2,0,27.0,debit,false
-6514568705466926897,AZ,85207,ho4,-8950907430587830424,,0,true,false,1,,3,0,26.0,debit,false
974323158555045220,AZ,86004,ho4,-8924695292962804173,,0,true,false,1,,2,0,19.0,credit,false
7736060723451686884,AZ,85259,ho4,-9002769354093650472,,0,false,false,1,,2,0,20.0,debit,false
-6584341964923387634,AZ,85202,ho4,-8981257244425580681,,0,false,false,0,,3,0,26.0,debit,false
-2430373437326025049,AZ,85705,ho4,-9074451264296597867,,0,true,false,0,,1,0,24.0,credit,false
538570620264227577,AZ,85027,ho4,-8933647861966070769,,0,true,false,1,,2,0,23.0,debit,false
-8186388709012332403,AZ,85281,ho4,-8862415827983733564,,0,true,true,1,,2,0,20.0,debit,false
2072941157392562309,AZ,85281,ho4,-9108018962293682801,,0,true,false,1,,2,0,18.0,credit,false
-2637148433665263844,AZ,85208,ho4,-9154659468238831845,,0,true,false,1,,3,0,39.0,credit,false
4701034027842053638,AZ,85014,ho4,-8858748072124334200,,0,false,true,0,,2,0,36.0,debit,false
-5996563092007966077,AZ,85295,ho4,-9210859158754993765,,0,false,false,1,,2,0,27.0,debit,false
3485193659132666949,AZ,85719,ho4,-8937166457345620705,,0,true,false,0,,1,1,22.0,debit,false
1623210509832844452,AZ,85338,ho4,-9145519131771785542,,0,true,false,0,,3,0,26.0,debit,false
-3787263491254608823,AZ,85003,ho4,-9018831544756298542,,0,true,false,0,,2,0,23.0,credit,false
4340735850739838973,AZ,85224,ho4,-9152657324392726982,,0,true,false,1,,3,0,23.0,credit,false
3507921146453371406,AZ,86001,ho4,-8876782044642867238,,0,true,false,1,,2,0,19.0,debit,false
2746100438197768002,AZ,85719,ho4,-9004201254195880472,,0,false,false,1,,1,0,21.0,debit,true
-4114971175457634682,AZ,85286,ho4,-9102961327965970219,,0,false,false,1,,3,0,39.0,debit,false
1942726078336552794,AZ,85284,ho4,-9171266807365191069,,0,true,false,1,,2,0,23.0,debit,false
1493868430964443216,AZ,85048,ho4,-9115996377026695841,,0,true,false,1,,2,0,24.0,debit,false
-5375520933880796215,AZ,85008,ho4,-9120042381116086131,,0,false,false,1,,2,0,25.0,credit,false
-7586328969787222030,AZ,86001,ho4,-8876782044642867238,,0,true,false,0,,2,1,19.0,debit,false
5546669770606463453,AZ,85251,ho4,-9109617357780729655,,0,true,false,1,,2,0,28.0,debit,false
3048566779216622864,AZ,85345,ho4,-9168545720595622166,,0,true,false,1,,1,0,30.0,debit,false
-3494767632349600052,AZ,85202,ho4,-8891507223403893694,,0,true,true,1,,3,0,27.0,credit,false
-2162172372758151058,AZ,85016,ho4,-9205357925206742168,,0,false,false,1,,2,0,28.0,debit,false
450105592107198934,AZ,85381,ho4,-8841748040377608530,,0,false,false,1,,1,0,21.0,debit,false
1427556101144503110,AZ,85201,ho4,-8861481393571254630,,0,true,false,1,,3,0,44.0,debit,false
-9109656065002349455,AZ,85008,ho4,-8907270069842840968,,0,true,false,1,,2,0,26.0,debit,false
-7464248153931929154,AZ,85033,ho4,-8806476777921150902,,0,true,false,1,,2,0,31.0,debit,false
-4044083888563307082,AZ,85021,ho4,-9041363311886890700,,0,true,false,1,,2,0,49.0,debit,false
-7428323366663462736,AZ,85306,ho4,-9013065789437493491,,0,false,false,0,,2,0,45.0,debit,false
3059384209933376754,AZ,85340,ho4,-9188577439940765349,,0,true,false,1,,4,0,54.0,debit,false
-1545921825827850319,AZ,85206,ho4,-9004332693485125372,,0,true,false,0,,3,0,25.0,debit,false
-3241641194685526891,AZ,85032,ho4,-9002769354093650472,,0,false,false,1,,2,1,20.0,debit,false
5632469366604489801,AZ,85613,ho4,-9090889928348455120,,0,true,false,1,,5,0,34.0,debit,false
-1353904943286594834,AZ,86314,ho4,-8818043038627745661,,0,true,false,1,,3,0,34.0,debit,false
6703222400888256293,AZ,85281,ho4,-8812271348017047138,,0,false,false,0,,2,0,19.0,debit,false
-6027550063504949247,AZ,85020,ho4,-9086829946060137999,,0,true,false,1,,1,0,23.0,credit,false
-4252480797282934513,AZ,85374,ho4,-8928026179114778882,,0,true,false,0,,2,0,21.0,debit,false
5502405535683019023,AZ,85008,ho4,-9034321695759458097,,0,true,false,1,,2,0,19.0,debit,false
-5751087151679793625,AZ,85021,ho4,-9047363220146524225,,0,true,false,0,,2,0,27.0,debit,false
-842037529662654326,AZ,85255,ho4,-9069845674364595094,,0,true,false,1,,2,0,43.0,debit,false
8181145629837616906,AZ,85281,ho4,-8834354530112112896,,0,true,false,0,,2,0,30.0,debit,false
-8234742928781655801,AZ,85020,ho4,-9220545000101355584,,0,true,false,1,,1,0,26.0,debit,false
1520325732829835100,AZ,85283,ho4,-8905943439764305695,,0,false,false,0,,2,0,25.0,debit,false
619132257226211841,AZ,85281,ho4,-9138161376960672357,,0,true,false,1,,2,0,33.0,credit,false
7048448154865269815,AZ,85233,ho4,-8884028950049710225,,0,true,true,1,,2,0,30.0,debit,false
-8023980696427844157,AZ,85392,ho4,-9008279650388864780,,0,true,true,0,,2,0,20.0,credit,false
-8869269946759571924,AZ,85718,ho4,-8915264304543865876,,0,true,true,0,,1,0,22.0,credit,false
7866655921981735117,AZ,85258,ho4,-8890726492723752559,,0,false,false,1,,2,0,25.0,debit,false
-3343255887387068053,AZ,85205,ho4,-9120423280127922132,,0,true,false,1,,3,0,20.0,debit,false
-6424452296145153313,AZ,85029,ho4,-9165016389680976891,,0,false,false,0,,1,0,22.0,credit,false
7315798062372565803,AZ,85204,ho4,-9091304025124025271,,0,true,false,0,,3,0,48.0,debit,false
-7368356598008605944,AZ,85705,ho4,-8923213556763595711,,0,true,false,1,,1,0,23.0,debit,false
1755386752186120140,AZ,85008,ho4,-8901575365378249024,,0,true,false,0,,1,0,21.0,credit,false
-8643352765198170695,AZ,85257,ho4,-9120185389895150451,,0,false,false,1,,2,0,27.0,debit,true
-6996480399971635704,AZ,85234,ho4,-8969660165957446759,,0,false,true,1,,2,0,24.0,credit,false
-6278666455504012812,AZ,85748,ho4,-9210680517300614909,,0,true,false,0,,1,0,33.0,credit,false
-1739661019275764052,AZ,85712,ho4,-9105969032736564296,,0,true,false,0,,1,0,23.0,debit,false
7277543762750492847,AZ,85018,ho4,-8987358377401619191,,0,false,false,1,,2,0,52.0,debit,false
-3157590295734248034,AZ,85023,ho4,-8858031880888680957,,0,true,true,0,,1,1,54.0,debit,false
2296228968357086625,AZ,85257,ho4,-9125068680429027988,,0,true,true,1,,2,0,29.0,credit,false
4043383803072553234,AZ,85251,ho4,-9011880398066118134,,0,false,false,1,,2,0,20.0,debit,false
-6347511513998713932,AZ,85338,ho4,-9189107537298056150,,0,true,true,1,,3,0,38.0,credit,false
2744926801867006770,AZ,85260,ho4,-9096468118143722085,,0,true,true,1,,2,0,51.0,debit,false
-5829657619448551474,AZ,85204,ho4,-8918303417186056183,,0,false,false,1,,3,0,33.0,debit,false
-7115588870024322325,AZ,85303,ho4,-8844112040663694706,,0,false,true,1,,2,0,35.0,debit,false
-1110908337942313666,AZ,85224,ho4,-9180769968164435447,,0,false,false,0,,3,0,29.0,debit,false
-1143757575789586659,AZ,85658,ho4,-9032710300561554634,,0,true,false,1,,2,0,28.0,credit,false
3989930030755400589,AZ,85281,ho4,-8984450450900910210,,0,true,false,1,,2,0,27.0,debit,false
6553516080279050092,AZ,85283,ho4,-9123951869697581129,,0,true,false,0,,2,0,21.0,debit,false
-7351813698488246033,AZ,85282,ho4,-8901678659696235640,,0,true,false,0,,2,0,28.0,credit,false
-1701939735947363482,AZ,85206,ho4,-8837686984286166698,,0,false,false,0,,3,0,54.0,debit,false
-409943889782210392,AZ,85023,ho4,-9186377971575468666,,0,false,false,1,,2,0,27.0,debit,false
2511553611841138953,AZ,85035,ho4,-8911787748699754769,,0,true,false,1,,1,1,23.0,debit,false
308419257262316755,AZ,85254,ho4,-9065074099649961781,,0,true,true,0,,1,0,33.0,credit,false
-8406900230404732495,AZ,85139,ho4,-9078625506808490701,,0,true,false,0,,2,0,33.0,credit,false
5377038345533499705,AZ,85281,ho4,-8938678073564654491,,0,true,false,1,,2,0,30.0,credit,false
-6457504507530789849,AZ,85205,ho4,-9120479145889553712,,0,true,true,1,,3,0,35.0,credit,false
-4021463043929675895,AZ,85281,ho4,-8905005442450775666,,0,true,true,0,,2,0,20.0,credit,false
-2176615323541717658,AZ,85013,ho4,-8823477830250896909,,0,true,false,1,,2,0,21.0,debit,false
-2624220039553652572,AZ,85201,ho4,-9209767135998354803,,0,false,false,1,,3,0,27.0,debit,false
-580335955385180725,AZ,85044,ho4,-9069058583368667763,,0,true,false,1,,2,0,26.0,debit,false
-2252408627626066847,AZ,85705,ho4,-9215938551223695121,,0,true,true,1,,1,0,35.0,credit,false
1565634505802756231,AZ,85719,ho4,-8979872648907581945,,0,true,false,1,,1,0,23.0,debit,false
7442413279558505614,AZ,85251,ho4,-9069023832941950783,,0,true,false,1,,2,0,26.0,credit,false
1750917517806707213,AZ,85226,ho4,-9167401624518690153,,0,true,true,1,,1,0,55.0,debit,false
-264171873230155465,AZ,85719,ho4,-8937166457345620705,,0,true,false,0,,1,0,22.0,debit,false
